Unique ID,Guardian_First,Guardian_last,Email,street,city,state,zip,Scholar_First,Scholar_Last,Scholar_Grade,Scholar 1 Enrollment Status
7356714015,London,Cameron,rasca@outlook.com,2856 RHONDA LN ,DENVER,CO,80207,Atticus,Jackson,Kindergarten,Application Submitted
3233233322,Marley,Allen,Marley.Allen@gmail.com,1638 E WASHINGTON ST ,DENVER,CO,80219,Carlo,Huang,2nd,Currently Enrolled
4344344433,Yair,Harrington,Yair.Harrington@gmail.com,628 N LAFAYETTE ST ,DENVER,CO,80219,Mitchell,Castillo,2nd,Currently Enrolled
5467891234,Ashanti,Huynh,Ashanti.Huynh@gmail.com,58 S 2ND ST ,DENVER,CO,80219,Melina,Ward,2nd,Currently Enrolled
7899877799,Ashanti,Sellers,Ashanti.Sellers@gmail.com,58 S 2ND ST ,DENVER,CO,80219,Braden,McClain,2nd,Currently Enrolled
8635929921,Eleanor,Roberts,e.roberts@randatmail.com,58 S 2ND ST ,DENVER,CO,80219,Frederick,Gibson,1st,Currently Enrolled
5553847821,David,Sullivan,d.sullivan@randatmail.com,1621 W TURNER ST APT 1,DENVER,CO,80219,Robert,Allen,1st,Currently Enrolled
4015158601,Freddie,Cunningham,f.cunningham@randatmail.com,1206 N NELSON ST APT 302,DENVER,CO,80219,Justin,Mason,1st,Currently Enrolled
1237299911,Dominik,Ellis,d.ellis@randatmail.com,384 HICKORY LN UNIT D3,DENVER,CO,80202,Brianna,Rogers,Kindergarten,Currently Enrolled
5778434111,Belinda,Hamilton,b.hamilton@randatmail.com,1624 W CEDAR ST ,DENVER,CO,80212,Andrew,Perkins,2nd,Currently Enrolled
9999999999,Pierce,Carrilo,Pierce.Carrilo@gmail.com,242 N 10TH ST APT 2,DENVER,CO,80212,Patricia,Curry,2nd,Currently Enrolled
3433433344,Rory,Yates,Rory.Yates@gmail.com,806 N MAXWELL ST ,DENVER,CO,80212,Evan,Bartlett,2nd,Currently Enrolled
2682906811,Rubie,Howard,r.howard@randatmail.com,1717 S HALL ST UNIT B1,DENVER,CO,80212,Fenton,Johnson,Kindergarten,Currently Enrolled
4046481911,Emma,Watson,e.watson@randatmail.com,715 N 7TH ST ,DENVER,CO,80212,Tara,Cole,Kindergarten,Currently Enrolled
6159609391,Melissa,Parker,m.parker@randatmail.com,715 N 7TH ST ,DENVER,CO,80212,Jenna,Richardson,1st,Currently Enrolled
9989826811,Antony,Russell,a.russell@randatmail.com,1211 E WOODLAWN ST UNIT 301,DENVER,CO,80212,Daisy,Warren,Kindergarten,Currently Enrolled
9464167321,Chelsea,Cooper,c.cooper@randatmail.com,2011 44563 W WASHINGTON ST ,DENVER,CO,80212,Victoria,Holmes,1st,Currently Enrolled
4399652041,Nicholas,Ferguson,n.ferguson@randatmail.com,558 N NEW ST APT 2,DENVER,CO,80212,Maddie,Payne,1st,Currently Enrolled
2372713771,Sydney,Thompson,s.thompson@randatmail.com,1217 E MARKS ST UNIT 209,DENVER,CO,80212,Thomas,Murray,1st,Currently Enrolled
3371209771,Caroline,Cole,c.cole@randatmail.com,3108 FINCH LN ,DENVER,CO,80212,Emma,Hunt,1st,Currently Enrolled
3265075801,Daniel,Johnson,d.johnson@randatmail.com,701 WILLIAMS AVE ,DENVER,CO,80212,Rubie,Myers,2nd,Currently Enrolled
4789347892,Natalia,Welsh,a.martin@randatmail.com,718 N SHERMAN ST ,DENVER,CO,80212,Anthony,Welsh,2nd,Currently Enrolled
4578345678,Patrick,Murray,a.martin@randatmail.com,720 N KIOWA ST ,DENVER,CO,80212,Phoebe,Murray,2nd,Currently Enrolled
8763458899,Fyodor,Chin,a.martin@randatmail.com,1213 E WOODLAWN ST APT 307,DENVER,CO,80212,Fyodora,Chin,Kindergarten,Currently Enrolled
4683554481,Penelope,Harper,p.harper@randatmail.com,1213 E WOODLAWN ST APT 307,DENVER,CO,80212,Valeria,Grant,PreK 3,Currently Enrolled
8900935451,Julian,Hawkins,j.hawkins@randatmail.com,254 E ELM ST ,DENVER,CO,80212,Vincent,Gray,1st,Currently Enrolled
5262986301,Honey,Henderson,h.henderson@randatmail.com,1204 44563 W UNION ST ,DENVER,CO,80212,George,Miller,2nd,Currently Enrolled
4692173401,Robert,Thomas,r.thomas@randatmail.com,627 W UNION ST ,DENVER,CO,80212,Frederick,Perry,2nd,Currently Enrolled
6666666666,Nyla,Baxter,Nyla.Baxter@gmail.com,1206 N NELSON ST APT 302,DENVER,CO,80220,Aleena,Leach,Kindergarten,Currently Enrolled
7677677766,Isaac,Mercado,Isaac.Mercado@gmail.com,303 E LINDEN ST ,DENVER,CO,80220,Emiliee,Cannon,2nd,Currently Enrolled
3788378899,Cannon,Watson,Cannon.Watson@gmail.com,830 PEMBROKE RD ,DENVER,CO,80220,Ethen,Baker,2nd,Currently Enrolled
2839484361,Carlos,Hunt,c.hunt@randatmail.com,1215A E MARKS ST APT 202,DENVER,CO,80220,David,Scott,1st,Currently Enrolled
3756554911,Connie,Hawkins,c.hawkins@randatmail.com,1619 W SOUTH ST ,DENVER,CO,80220,Connie,Ellis,1st,Currently Enrolled
1234567890,Jean,Valjean,jvaljean@frenchgmail.com,1353 W TURNER ST ,DENVER,CO,80220,Cosette,Valjean,Kindergarten,Currently Enrolled
2070422911,Sienna,Williams,s.williams@randatmail.com,3 MARYLAND CIR APT 116,DENVER,CO,80220,Tara,Ryan,1st,Currently Enrolled
2734505031,Charlotte,Andrews,c.andrews@randatmail.com,405 S FRANKLIN ST ,DENVER,CO,80220,Adrian,Thompson,2nd,Currently Enrolled
7122762751,Fenton,Miller,f.miller@randatmail.com,1819 W TILGHMAN ST ,DENVER,CO,80220,Maddie,Baker,2nd,Currently Enrolled
4136615411,Jordan,Richardson,j.richardson@randatmail.com,1819 W TILGHMAN ST ,DENVER,CO,80220,Roland,Casey,1st,Currently Enrolled
7394286621,Daisy,Andrews,d.andrews@randatmail.com,815 N LACROSSE ST ,DENVER,CO,80220,Alford,Gray,1st,Currently Enrolled
8337075146,Cora,Fisher,ivoibs@aol.com,13 S BROOK ST ,DENVER,CO,80220,Selah,Marvin,2nd,Currently Enrolled
5174805122,Raven,Krueger,reziac@comcast.net,831 S 10TH ST ,DENVER,CO,80215,Mario,Stein,PreK 3,Currently Enrolled
4245142684,Marlie,Shah,hling@yahoo.ca,831 S 10TH ST ,DENVER,CO,80216,Jase,Hood,2nd,Currently Enrolled
1058367761,Arthur,Andrews,a.andrews@randatmail.com,2840 FERNOR ST APT 302,DENVER,CO,80217,John,Montgomery,2nd,Currently Enrolled
7377391181,Olivia,Wright,o.wright@randatmail.com,234 S LEVAN ST APT D,DENVER,CO,80217,Martin,Farrell,,Currently Enrolled
7102728961,Penelope,Tucker,p.tucker@randatmail.com,710 KAROLY ST ,DENVER,CO,80217,Patrick,Mitchell,,Currently Enrolled
6243800871,Violet,Martin,v.martin@randatmail.com,634 W WASHINGTON ST ,DENVER,CO,80217,Madaline,Carroll,2nd,Currently Enrolled
2785087461,Patrick,Foster,p.foster@randatmail.com,634 W WASHINGTON ST ,DENVER,CO,80217,Charlotte,Anderson,2nd,Currently Enrolled
5192630651,Annabella,Kelley,a.kelley@randatmail.com,614 44563 N 8TH ST ,DENVER,CO,80217,Tess,Harris,Kindergarten,Currently Enrolled
4463255811,Kate,Jones,k.jones@randatmail.com,534 W GREEN ST ,DENVER,CO,80217,Lucas,Hawkins,Kindergarten,Currently Enrolled
5425895511,Jack,Cameron,j.cameron@randatmail.com,534 W GREEN ST ,DENVER,CO,80217,Lucas,Richards,Kindergarten,Currently Enrolled
3038385411,Fiona,Stewart,f.stewart@randatmail.com,745 DIXON ST ,DENVER,CO,80217,Robert,Perkins,1st,Currently Enrolled
2098041711,Henry,Casey,h.casey@randatmail.com,853 N HALSTEAD ST ,DENVER,CO,80217,Chloe,Douglas,1st,Currently Enrolled
6337486501,Daryl,Tucker,d.tucker@randatmail.com,30 N 2ND ST ,DENVER,CO,80217,Catherine,Nelson,1st,Currently Enrolled
4072840911,Steven,Carter,s.carter@randatmail.com,10 STONECREEK CT ,DENVER,CO,80217,Lyndon,Allen,2nd,Currently Enrolled
1198763201,Maya,Reed,m.reed@randatmail.com,1306 E GORDON ST ,DENVER,CO,80217,Tyler,Russell,2nd,Currently Enrolled
4724439821,Reid,Murray,r.murray@randatmail.com,1306 E GORDON ST ,DENVER,CO,80217,Honey,Rogers,2nd,Currently Enrolled
9047162661,Jordan,Foster,j.foster@randatmail.com,702 W TURNER ST APT 502,DENVER,CO,80217,Connie,Hall,1st,Currently Enrolled
4014232471,Kellan,Clark,k.clark@randatmail.com,824 PLYMOUTH ST ,DENVER,CO,80217,Stella,Richards,2nd,Currently Enrolled
7208876698,Maria,Travera,,824 PLYMOUTH UNIT 824,DENVER,CO,80217,Jonathan,Travera,2nd,Currently Enrolled
8780909833,Levi,Jones,levijones@gmail.com,624 N 5TH ST ,DENVER,CO,80217,Juan,Jones,1st,Currently Enrolled
16503235674,Levi,Jones,noname@gmail.com,2342 W HAMILTON ST APT 1A,DENVER,CO,20159,Juan,Jones,1st,Currently Enrolled
7790983289,Edith,Gaurault,egg@gmail.com,440 S 18TH ST ,DENVER,CO,20159,Juan,Jones,1st,Currently Enrolled
6162809458,John,Doe,jdoe@gmail.com,1429 DETWEILER AVE ,DENVER,CO,20158,Jimmy,Doe,Kindergarten,Currently Enrolled
6748907632,April,Sunshine,a.barrett@randatmail.com,1710W ELM ST 18104,DENVER,CO,20158,June,Sunshine,Kindergarten,Currently Enrolled
8029191633,Sherlock,Lannister,a.barrett@randatmail.com,271 E FAIRVIEW ST ,DENVER,CO,20158,Cersei,Lannister,Kindergarten,Currently Enrolled
3023457809,Mabel,Fleming,a.henderson@randatmail.com,320 S 14TH ST ,DENVER,CO,20158,Mabel,Fleming,2nd,Currently Enrolled
3709990876,Julia,Fleming,o.wright@randatmail.com,1739 HANOVER AVE ,DENVER,CO,20158,Julia,Fleming,2nd,Currently Enrolled
7777777777,Glenn,Shields,Glenn.Shields@gmail.com,2602 MOUNTAIN LN ,DENVER,CO,80220,Alyvia,Barrera,2nd,Enrollment Packet Sent
5655655566,Kyle,Odom,Kyle.Odom@gmail.com,1731 S IDAHO ST APT 2,DENVER,CO,80220,Ashly,Reyes,2nd,Initial Call Made
900900099,Tia,Estes,Tia.Estes@gmail.com,640 WALNUT ST ,EMMAUS DENVER,CO,80220,Carissa,Davies,2nd,Initial Call Made
3833833388,Theodore,Ortega,Theodore.Ortega@gmail.com,221 W TILGHMAN ST ,DENVER,CO,80220,Nikhil,Swanson,2nd,Initial Call Made
3014103260,Ally,Hertz,,541 CLEVELAND ST ,DENVER,CO,80217,Alice,Hertz,Kindergarten,Initial Call Made
7675382909,Naima,Shaw,nshaw@msnbc.com,325 N PERRY ST ,DENVER,CO,20158,Juan,Jones,1st,Initial Call Made
2626262266,Heath,Nolan,Heath.Nolan@gmail.com,1117 W TURNER ST APT 2,DENVER,CO,80022,Naima,Adams,Kindergarten,Interested
7973177232,Leilani,Bean,dawnsong@outlook.com,109 W WABASH ST ,DENVER,CO,80022,Kaila,Victor,1st,Interested
2468280462,Kaylin,Cervantes,nweaver@verizon.net,109 W WABASH ST ,DENVER,CO,80033,Charlie,Turner,1st,Interested
6284149256,Jazmin,Mccann,punkis@live.com,925 E SYCAMORE ST ,DENVER,CO,80201,Amanda,Miguel,Kindergarten,Interested
2512809186,Josie,Stone,elflord@yahoo.ca,2856 RHONDA LN ,DENVER,CO,80206,Jaidyn,Dario,Kindergarten,Interested
5593042043,Isis,Garrison,jamuir@att.net,745 S DELAWARE ST ,DENVER,CO,80214,Ray,Walter,2nd,Interested
6153356173,Maleah,Blake,dsugal@att.net,303 MAXWELL ST APT 7,DENVER,CO,80218,Isiah,Krause,2nd,Interested
8686927163,Lara,Ewing,larry@icloud.com,1638 E WASHINGTON ST ,DENVER,CO,80219,Terrell,Cowan,Kindergarten,Interested
1682258111,Tony,Chapman,t.chapman@randatmail.com,402 S 15TH ST UNIT APT516,DENVER,CO,80212,Tyler,Higgins,Kindergarten,Interested
2098479431,Sydney,Holmes,s.holmes@randatmail.com,2229 E COLUMBIA ST ,DENVER,CO,80212,Miller,Rogers,Kindergarten,Interested
4352854071,Nicholas,Adams,n.adams@randatmail.com,409 E SUSQUEHANNA ST ,DENVER,CO,80212,Dainton,Ryan,Kindergarten,Interested
6766767766,Semaj,Doughtery,Semaj.Doughtery@gmail.com,510 PARK ST ,DENVER,CO,80212,Dwayne,House,1st,Interested
5461294061,Audrey,Martin,a.martin@randatmail.com,1310 E WOODLAND ST UNIT APT203,DENVER,CO,80212,Ryan,Bailey,2nd,Interested
1457892367,Baila,Surtees,a.martin@randatmail.com,503 N 6TH ST APT 2,DENVER,CO,80212,Chris,Surtees,1st,Interested
7063913801,Adrianna,Parker,a.parker@randatmail.com,615 N RANDOLPH ST ,DENVER,CO,80212,Anna,Foster,2nd,Interested
5873857271,Michelle,Payne,m.payne@randatmail.com,745 S DELAWARE ST ,DENVER,CO,80212,Lilianna,Smith,1st,Interested
1067281471,Adelaide,Stevens,a.stevens@randatmail.com,662 N TACOMA ST ,DENVER,CO,80212,Joyce,Stewart,2nd,Interested
8724788908,Alanna,Burton,froodian@hotmail.com,525 W TILGHMAN ST APT 2,DENVER,CO,80204,Cheyanne,Frank,Kindergarten,Interested
9898988899,Raphael,Lowery,Raphael.Lowery@gmail.com,2602 MOUNTAIN LN ,DENVER,CO,80220,Hannah,Buck,2nd,Interested
8121294731,Olivia,Carter,o.carter@randatmail.com,830 PEMBROKE RD ,DENVER,CO,80220,Sam,Jones,2nd,Interested
4822068331,Fiona,Phillips,f.phillips@randatmail.com,538WEST CEDAR ST ,DENVER,CO,80220,Oliver,Gray,2nd,Interested
